Rank,Word,Total Importance Score,PC1 Loading,PC2 Loading,PC3 Loading,PC4 Loading,PC5 Loading
84,perception action,0.187004,-0.011463,0.025634,0.085911,0.056131,0.007865
85,multi,0.185306,-0.047077,0.006745,-0.109031,0.007919,0.014535
86,generative,0.184912,-0.032560,0.039551,0.069621,0.029353,0.013827
87,reinforcement,0.182915,-0.051279,0.067044,-0.020967,0.022090,-0.021535
88,consciousness,0.181037,0.004547,-0.025159,0.041430,-0.007453,0.102448
89,tasks,0.178334,-0.047891,0.011603,-0.039924,0.026155,-0.052762
90,sensorimotor,0.177040,-0.003835,-0.006656,0.065521,0.063390,-0.037638
91,neuroscience,0.176736,0.006651,0.036252,0.064064,0.028454,0.041315
92,discrete,0.175776,-0.029051,0.070811,0.043896,-0.030355,0.001662
93,artificial,0.175337,-0.008847,-0.005949,0.002547,0.032171,0.125823
94,collective,0.173362,-0.010543,-0.012378,-0.055313,-0.007822,0.087305
95,behaviour,0.172272,-0.022791,0.042217,-0.049536,0.017445,0.040282
96,deep learning,0.170938,-0.021922,0.032583,0.054836,0.037478,-0.024119
97,artificial intelligence,0.170460,-0.002665,-0.024463,0.009359,0.026615,0.107357
98,space,0.168202,-0.007338,0.023853,0.019087,-0.027343,-0.090580
99,multi agent,0.167437,-0.022546,0.004761,-0.084159,0.007508,0.048464
100,mathematical,0.167112,0.024994,0.034605,0.059929,-0.008167,0.039418
101,search,0.167076,-0.021706,0.021946,-0.034794,-0.039261,-0.049368
102,based,0.166404,-0.055590,0.010113,0.018582,0.029953,-0.052166
103,networks,0.165162,0.006387,-0.036948,0.054568,0.063668,0.003592
104,terms,0.164455,0.031046,0.031593,0.033594,-0.031471,0.036752
105,minimization,0.163946,0.032843,0.060097,-0.036910,0.012746,-0.021350
106,biological,0.163872,0.001021,0.029306,0.036842,0.026968,0.069735
107,quantum,0.163530,0.086719,-0.030788,0.008128,-0.007897,0.029998
108,processing,0.163492,0.002647,-0.043995,0.047222,0.039564,0.030064
109,recognition,0.161771,0.002736,-0.036663,0.036616,0.048743,-0.037014
110,generative models,0.160728,-0.017980,0.024635,0.068540,-0.002314,0.047260
111,value,0.159798,0.008758,0.048337,-0.045308,-0.039869,-0.017528
112,object,0.159638,-0.014695,-0.004419,0.017776,0.008728,-0.114020
113,optimal,0.159575,-0.014733,0.044496,0.026028,-0.061720,-0.012599
114,prediction,0.159345,0.005601,-0.016559,0.054200,0.074191,-0.008794
115,blanket,0.159126,0.064026,0.016323,-0.014457,-0.046743,0.017577
116,social,0.158535,-0.007338,-0.064397,-0.012478,0.009221,0.065103
117,dynamical,0.158231,0.038396,-0.016902,0.027617,-0.057768,0.017548
118,statistical,0.156846,0.042278,-0.012330,0.018294,-0.076915,0.007029
119,autonomous,0.156018,-0.025741,-0.004792,-0.045734,0.075087,0.004663
120,computational,0.155850,-0.033670,0.005786,0.007285,0.051307,0.057803
121,observations,0.155121,-0.006803,0.050788,-0.043228,0.009652,-0.044650
122,inspired,0.152487,-0.027504,-0.010543,-0.013258,0.088793,-0.012389
123,memory,0.152063,-0.006692,-0.041848,-0.035615,0.045980,0.021929
124,predictive processing,0.151965,0.003170,-0.018796,0.055964,0.039648,0.034386
125,entropy,0.151092,0.047659,0.018776,-0.031706,-0.040694,-0.012258
126,processes,0.151041,-0.009887,-0.022698,0.031699,-0.063213,0.023544
127,map,0.150635,-0.014682,-0.008764,-0.071558,0.032878,-0.022753
128,variational free,0.148832,0.052861,0.059856,-0.001577,0.007534,-0.027005
129,formulation,0.148512,0.038459,0.043797,0.038471,-0.010568,0.017217
130,epistemic,0.148158,0.005966,0.062918,-0.075271,0.000043,-0.003960
131,stochastic,0.146971,0.005678,0.021034,0.025449,-0.058580,-0.036230
132,input,0.146935,0.004066,-0.015897,0.056976,0.027097,-0.042899
133,large,0.146493,-0.029164,-0.047778,-0.015714,-0.034891,-0.018946
134,research,0.145205,-0.000455,-0.031070,0.003182,0.021243,0.089256
135,robots,0.144344,-0.022169,-0.036685,0.019493,0.054801,-0.011197
136,particular,0.143234,0.062381,0.020951,0.021996,-0.033307,-0.004599
137,dynamical systems,0.142686,0.033392,-0.006955,0.019988,-0.054277,0.028074
138,mind,0.140519,0.011060,-0.023235,0.021641,0.031844,0.052738
139,architecture,0.140336,-0.015529,-0.020180,0.029344,0.049401,0.025882
140,llm,0.140082,-0.016646,-0.041476,-0.038165,-0.037413,-0.006382
141,maps,0.137813,-0.020898,-0.017511,-0.030901,0.042496,-0.026006
142,ai systems,0.136717,-0.007503,-0.019256,-0.015561,0.011136,0.083262
143,hierarchical,0.135636,-0.013894,-0.036450,-0.005330,0.067048,-0.012914
144,neural network,0.135231,0.001906,-0.013102,0.021850,0.043203,-0.055170
145,machine,0.134783,0.012457,-0.014090,0.040592,0.042638,-0.025007
146,learn,0.134011,-0.022078,0.006819,-0.012198,0.054789,-0.038127
147,cost,0.133620,-0.011639,0.028593,0.027025,-0.050147,-0.016216
148,markov blanket,0.133589,0.056614,0.015803,-0.017558,-0.029543,0.014071
149,belief,0.131680,0.005844,0.008501,-0.034665,-0.031188,0.051481
150,rewards,0.130434,-0.019320,0.037533,-0.049065,0.015546,-0.008969
151,physics,0.129888,0.076766,-0.000279,-0.013263,-0.033559,0.006021
152,linear,0.129867,0.032612,0.015229,0.033587,-0.034034,-0.014405
153,mobile,0.129346,-0.018816,-0.049832,-0.007440,-0.018249,-0.035008
154,human robot,0.129285,-0.007654,-0.038214,0.026040,0.041429,0.015948
155,llms,0.128778,-0.016203,-0.036498,-0.022038,-0.028830,0.025209
156,principle fep,0.128077,0.066153,0.014133,-0.002187,0.042549,-0.003056
157,number,0.128061,-0.008377,-0.024262,0.010887,-0.054665,-0.029869
158,generative model,0.127597,-0.017702,0.032826,0.019126,0.035823,-0.022120
159,distribution,0.126675,-0.012297,0.010574,-0.035108,0.009114,-0.059582
160,agi,0.126601,0.002337,-0.029332,-0.026302,-0.010492,0.058138
161,devices,0.126192,-0.025208,-0.038202,-0.018663,-0.038912,0.005206
162,activity inference,0.126135,-0.005920,-0.041789,-0.002793,-0.036229,-0.039404
163,spatial,0.125660,-0.013523,-0.024509,-0.047075,0.015969,-0.024584
164,bayesian inference,0.125208,0.028256,0.026213,0.034822,-0.023523,0.012395
165,information gain,0.124571,0.006080,0.027493,-0.043904,-0.027571,-0.019524
166,energy minimization,0.124283,0.021417,0.038653,-0.028481,0.016811,-0.018921
167,computing,0.124280,-0.013416,-0.024626,-0.030627,-0.018244,0.037369
168,future,0.124156,-0.010992,0.035924,-0.027659,0.029016,0.020566
169,latent,0.124148,-0.016333,-0.006723,0.017398,0.023291,-0.060403
170,theories,0.123666,0.013041,-0.029021,0.021249,-0.001121,0.059233
171,world model,0.123655,-0.022093,0.011121,-0.026771,0.046278,-0.017392
172,al,0.123149,0.021899,0.021624,-0.014895,-0.043357,-0.021374
173,et al,0.123149,0.021899,0.021624,-0.014895,-0.043357,-0.021374
174,et,0.123149,0.021899,0.021624,-0.014895,-0.043357,-0.021374
175,time,0.122610,-0.024543,-0.000341,0.007338,-0.075723,-0.014664
176,prior,0.122166,-0.019116,0.020096,-0.033776,0.007492,-0.041686
177,synaptic,0.121923,0.029563,-0.014231,0.016986,0.035199,-0.025943
178,robotic,0.121849,-0.035093,0.019859,0.009960,0.017415,-0.039522
179,communication,0.121471,-0.008715,-0.031262,-0.022714,-0.021487,0.037293
180,classification,0.121443,0.001071,-0.031963,0.008129,-0.032181,-0.048099
181,problems,0.121284,-0.004150,0.029436,0.025714,-0.058540,0.003443
182,real,0.120221,-0.039590,-0.008459,-0.009488,0.041376,-0.021309
183,exploitation,0.119142,-0.013651,0.053834,-0.036515,-0.005720,0.009421
184,preferences,0.118912,-0.026627,0.006789,-0.055036,-0.029190,-0.001271
185,dataset,0.118865,-0.008887,-0.034103,0.005044,-0.027382,-0.043448
186,message,0.118225,-0.003082,0.052525,-0.040817,-0.013863,-0.007938
187,safety,0.118158,-0.011588,-0.013797,-0.044621,0.004463,0.043689
188,gain,0.118055,0.003937,0.023352,-0.042123,-0.030760,-0.017882
189,adaptive,0.117864,-0.027786,-0.023646,-0.002970,-0.023044,0.040417
190,developmental,0.117637,-0.003728,-0.033741,0.011526,0.039525,0.029117
191,semantic,0.117620,0.018556,-0.029975,-0.001861,-0.039481,-0.027745
192,random,0.117518,0.022410,-0.020885,0.001147,-0.044563,-0.028512
193,dynamics,0.116935,0.041986,0.020300,0.038991,0.006287,-0.009370
194,knowledge,0.116824,-0.019537,-0.066598,-0.012950,0.002404,-0.015336
195,method,0.116643,-0.031447,-0.003695,-0.021147,-0.025547,-0.034807
196,preference,0.116476,-0.019943,0.035511,-0.044877,-0.010963,-0.005182
197,tree,0.116044,-0.011673,0.036735,-0.025871,-0.036431,-0.005335
198,like,0.115722,-0.011801,-0.024524,0.022881,0.032836,0.023681
199,real world,0.115598,-0.030092,0.008065,-0.020404,0.033105,-0.023930
200,reasoning,0.115477,-0.012815,-0.026941,-0.042884,0.018815,0.014022
201,efficient,0.115392,-0.028131,-0.002932,-0.056621,0.015029,-0.012679
202,language,0.114099,0.003176,-0.038193,-0.035405,-0.010165,0.027160
203,particles,0.114065,0.029834,-0.013933,-0.011040,-0.044277,0.014982
204,controller,0.113464,-0.022537,0.019650,0.049760,-0.000381,-0.021136
205,physical,0.112745,0.045909,-0.015719,-0.034033,0.002736,0.014348
206,inferred,0.112741,-0.011368,-0.034462,-0.001331,-0.032541,-0.033039
207,blankets,0.112549,0.047684,0.001578,-0.021782,-0.029447,0.012058
208,activities,0.111855,-0.007620,-0.039989,0.004496,-0.014721,-0.045029
209,high,0.111779,-0.029608,-0.007301,0.022580,0.014757,-0.037532
210,discuss,0.111391,0.016174,-0.009458,0.017591,-0.005296,0.062873
211,formal,0.111353,0.024864,-0.006138,0.004334,-0.033629,0.042388
212,error,0.111108,0.006786,-0.016801,0.054351,0.031244,0.001926
213,living,0.110640,0.023402,0.005636,0.030929,0.013017,0.037656
214,challenges,0.109869,-0.021417,-0.005338,0.019477,0.020672,0.042966
215,universal,0.109783,0.010814,-0.012060,-0.020127,0.018289,0.048493
216,horizon,0.109774,-0.028623,0.045412,0.010023,-0.024879,0.000836
217,objective,0.109737,-0.013190,0.040536,-0.020863,-0.018475,-0.016672
218,imaging,0.109577,-0.006416,-0.026120,0.011628,-0.035154,-0.030259
219,state space,0.109533,0.003334,0.030493,0.032631,0.004324,-0.038752
220,complex,0.109510,-0.025184,0.010673,-0.027827,0.027870,0.017957
221,representation,0.109368,-0.009888,-0.005173,0.058303,0.016954,-0.019049
222,attacks,0.109127,-0.011782,-0.030141,0.009265,-0.021547,-0.036393
223,neural networks,0.109094,0.010920,-0.007124,0.030251,0.042624,-0.018174
224,simulated,0.108911,-0.021446,0.011332,-0.011788,0.038222,-0.026123
225,users,0.108811,-0.018460,-0.036000,-0.038518,-0.004051,-0.011783
226,performance,0.108712,-0.051244,0.008311,-0.006991,0.005570,-0.036597
227,generalization,0.108603,-0.016320,-0.024303,0.006685,0.021418,-0.039876
228,parameters,0.108202,-0.002809,-0.003909,0.034144,-0.031148,-0.036192
229,arm,0.107975,-0.017236,0.004515,0.043824,0.020077,-0.022323
230,accuracy,0.107840,-0.005902,-0.033411,0.003995,-0.024737,-0.039796
231,equations,0.107772,0.043751,0.023327,-0.009461,-0.021762,0.009471
232,machine learning,0.107288,0.009794,-0.014697,0.024268,0.023055,-0.035474
233,behaviors,0.107159,-0.017629,0.013698,-0.040909,0.029538,-0.005384
234,dynamic,0.107101,-0.023549,-0.006896,-0.041913,0.031376,0.003367
235,science,0.106701,0.006081,-0.017220,0.022162,0.020162,0.041077
236,ability,0.106605,-0.019043,-0.018464,-0.029654,0.025236,0.014208
237,unifying,0.106570,0.012632,0.021807,0.026565,0.016748,0.028818
238,prediction error,0.106302,0.006383,-0.007347,0.040841,0.041577,0.010154
239,inference active,0.105768,-0.021629,0.042569,0.012294,-0.014606,0.014670
240,environmental,0.105250,-0.023553,0.016533,-0.034291,0.029983,-0.000891
241,action perception,0.105098,-0.004426,0.004664,0.058267,0.012360,0.025382
242,goals,0.104970,-0.027697,0.022145,-0.024896,0.020580,-0.009653
243,ideas,0.104813,0.017051,0.003284,0.031166,0.014239,0.039074
244,analysis,0.104643,0.003723,-0.031817,-0.004629,-0.048359,-0.016116
245,message passing,0.104181,-0.001854,0.050078,-0.033804,-0.012809,-0.005636
246,passing,0.104181,-0.001854,0.050078,-0.033804,-0.012809,-0.005636
247,design,0.103958,-0.018180,0.006894,-0.017628,-0.035402,0.025854
248,quality,0.103486,-0.010952,-0.040724,-0.005382,-0.030534,-0.015894
249,balance,0.103084,-0.015891,0.028545,-0.048758,0.004965,-0.004925
250,manipulation,0.102915,-0.025972,0.012843,-0.013103,0.021843,-0.029155
251,strategy,0.102885,-0.015623,-0.017999,-0.005904,-0.055753,-0.007606
252,scheme,0.102232,-0.009703,0.025359,0.027532,-0.020715,-0.018924
253,home,0.102172,-0.010588,-0.026052,-0.019664,-0.014087,-0.031781
254,representations,0.102011,-0.000929,0.007764,0.048298,0.023884,-0.021137
255,curiosity driven,0.101871,-0.010795,-0.012818,-0.039114,0.033751,-0.005393
256,demonstrate,0.101750,-0.038856,0.021165,-0.026460,-0.006638,-0.008632
257,pomdps,0.101480,-0.010749,0.015784,-0.015906,-0.044642,0.014399
258,end,0.101046,-0.018747,0.011257,0.013143,0.012852,-0.045047
259,different,0.100841,-0.012973,-0.002310,0.037015,-0.020419,-0.028124
260,approach,0.100678,-0.042765,0.018220,-0.011479,0.000727,-0.027487
261,gaussian,0.100584,0.009152,-0.005470,0.012366,-0.045553,-0.028044
262,account,0.100468,0.032267,0.019950,0.021033,-0.004267,0.022950
263,adaptation,0.099982,-0.023942,0.004083,0.037223,0.027395,0.007339
264,architectures,0.099465,0.005034,-0.013237,0.013107,0.026782,0.041306
265,strategies,0.098777,-0.021326,-0.003373,-0.045294,0.010465,0.018319
266,language models,0.098732,-0.012735,-0.035187,-0.023176,-0.015182,0.012452
267,embodiment,0.098479,0.003369,-0.024884,0.005236,0.022609,0.042381
268,continuous,0.098470,-0.019084,0.044900,0.012904,0.000296,-0.021286
269,noise,0.098157,0.010437,-0.010057,0.033587,-0.012864,-0.031212
270,theoretical,0.097479,0.016277,0.020569,0.018230,0.005443,0.036960
271,development,0.097457,0.002640,-0.035708,0.001098,0.026260,0.031750
272,process,0.097143,0.005070,-0.011225,0.044681,-0.027879,-0.008287
273,compared,0.097058,-0.026924,0.012777,-0.013890,-0.012706,-0.030761
274,markov blankets,0.096912,0.033433,-0.000591,-0.017841,-0.030874,0.014174
275,utility,0.096473,0.009682,0.043516,-0.016700,-0.023962,-0.002614
276,compositional,0.096472,0.008406,-0.006057,0.013998,-0.046050,0.021962
277,description,0.096443,0.036472,0.001063,0.003667,-0.029881,0.025361
278,novel,0.096341,-0.038114,0.003415,-0.023449,0.013047,-0.018316
279,interactions,0.096169,-0.010256,-0.026302,-0.018038,0.020110,0.021462
280,target,0.095974,0.013740,0.002961,-0.017110,0.005521,-0.056643
281,constraints,0.095851,0.023260,-0.017501,-0.016207,-0.024724,0.014159
282,edge,0.095703,-0.024735,-0.019738,-0.015429,-0.022340,0.013461
283,tree search,0.095674,-0.015013,0.031180,-0.010932,-0.034132,-0.004418
284,agency,0.095637,-0.011475,0.008736,-0.003206,-0.007557,0.064662
285,approximate,0.095552,0.009541,0.017388,0.032503,-0.029436,0.006683
286,recent,0.095490,-0.015032,0.028789,0.018199,0.013613,0.019856
287,external,0.095423,0.026971,0.003388,-0.002036,-0.047987,0.015041
288,inference framework,0.095148,-0.024765,0.019545,0.002661,0.031520,0.016657
289,dimensional,0.095045,-0.013837,0.013162,0.020108,0.013575,-0.034364
290,using,0.094920,-0.012722,0.007818,0.000249,-0.014390,-0.059742
291,learns,0.094647,-0.013289,0.002321,0.014224,0.038071,-0.026742
292,state spaces,0.094588,-0.008973,0.044376,0.036595,-0.003521,-0.001125
293,local,0.094383,0.026997,-0.012130,-0.021081,0.006710,-0.027464
294,intelligent,0.094312,-0.013691,-0.002959,-0.027392,0.013295,0.036976
295,structure,0.094264,0.006212,-0.012827,-0.027546,0.028450,-0.019229
296,open,0.094227,-0.008105,-0.024514,0.014620,-0.036834,0.010154
297,uses,0.094192,-0.010990,-0.017577,-0.010728,-0.012475,-0.042422
298,sensing,0.094149,-0.013932,-0.016434,0.008959,-0.043893,-0.010930
299,learned,0.093862,-0.018212,0.002396,0.021748,0.021805,-0.029701
300,state estimation,0.093673,-0.001559,0.020596,0.051138,0.007511,-0.012869
301,attention,0.093664,0.006692,-0.027285,0.016300,0.021256,-0.022132
302,point,0.093499,0.010491,-0.007252,0.016982,-0.032555,-0.026219
303,humans,0.093417,-0.014637,-0.014038,0.005511,0.053377,0.005854
304,adaptability,0.093410,-0.028211,0.013195,-0.006867,0.034558,-0.010578
305,gradient,0.093380,0.027203,0.011146,0.020632,0.006760,-0.027639
306,discrete state,0.093287,-0.008940,0.041132,0.025695,-0.010838,0.006681
307,car,0.093067,-0.018516,0.020654,0.022898,0.010937,-0.020062
308,understanding,0.092978,-0.012273,-0.021234,0.005825,0.027163,0.026484
309,class,0.092675,0.009514,0.006178,-0.002392,-0.044145,-0.030446
310,inference agent,0.092598,-0.026301,0.049250,0.000455,0.010641,-0.005952
311,capabilities,0.092191,-0.010472,-0.012840,-0.014053,0.026822,0.028003
312,precision,0.091891,-0.007299,-0.019002,0.026159,-0.017168,-0.022262
313,privacy,0.091516,-0.008583,-0.026804,-0.003481,-0.026321,-0.026327
314,individual,0.091397,-0.012192,-0.017817,-0.024422,-0.001505,0.035461
315,supervised,0.090856,-0.006531,-0.009541,0.005610,0.034091,-0.035084
316,review,0.090807,0.005647,-0.011678,0.028661,0.008447,0.036375
317,exploration exploitation,0.090605,-0.011162,0.038387,-0.028439,0.000228,0.012390
318,inputs,0.090487,-0.001750,-0.001403,0.034051,0.031129,-0.022154
319,friston,0.090322,0.015175,0.005626,0.013187,-0.032058,0.024276
320,things,0.090171,0.034189,-0.016945,-0.004499,-0.029794,-0.004744
321,large language,0.090146,-0.013035,-0.031819,-0.020381,-0.010396,0.014514
322,provide,0.089770,0.011195,-0.014370,0.041817,-0.006515,0.015874
323,risk,0.089627,-0.002590,-0.003640,-0.048919,0.011293,0.023185
324,crucial,0.089419,-0.007911,-0.021436,-0.023302,0.033931,-0.002839
325,alignment,0.089262,-0.003957,-0.013200,-0.026849,0.006262,0.038993
326,current,0.089251,-0.007530,0.006716,0.038803,0.025886,-0.010316
327,mechanisms,0.089152,-0.006124,-0.020529,-0.004697,0.034442,0.023360
328,motion,0.088485,-0.012592,-0.003480,-0.029150,0.027691,-0.015571
329,observation,0.088469,-0.015494,0.013363,-0.026387,-0.011970,-0.021255
330,labels,0.088273,-0.007254,-0.019533,0.002832,-0.018611,-0.040043
331,grid,0.088265,-0.019582,0.008488,-0.029557,0.012477,-0.018161
332,collaboration,0.087924,-0.008116,-0.024661,0.010967,0.007901,0.036279
333,resource,0.087756,-0.015268,-0.003092,-0.038201,-0.014945,0.016249
334,topological,0.087680,0.002900,-0.009015,-0.032258,0.037853,-0.005655
335,structures,0.087661,-0.002738,-0.021949,-0.020160,0.026974,0.015840
336,markov decision,0.087331,-0.013902,0.020218,-0.011380,-0.039485,0.002347
337,long,0.087265,-0.018674,-0.006669,-0.039498,0.015423,-0.007000
338,trajectory,0.087180,-0.006748,-0.019645,0.014580,-0.028631,-0.017577
339,human brain,0.087018,0.004184,-0.026405,0.015123,0.026964,0.014341
340,coupling,0.086894,0.036281,-0.005230,-0.014330,-0.021435,0.009619
341,results,0.086855,-0.028171,0.014393,0.006154,0.007617,-0.030520
342,role,0.086729,-0.002946,-0.021525,-0.007123,0.028490,0.026645
343,proposed,0.086707,-0.011231,-0.005429,0.000942,0.027683,-0.041422
344,objects,0.086366,-0.006333,-0.007350,0.001487,-0.013145,-0.058050
345,study,0.085254,-0.006885,-0.024690,0.017177,0.030822,0.005681
346,regulation,0.085252,-0.002984,-0.010441,0.011732,0.031823,0.028272
347,minimize,0.085023,0.003568,0.022446,0.019533,0.027988,-0.011488
348,general,0.084781,0.024132,0.002646,-0.001358,-0.023689,0.032956
349,datasets,0.084756,-0.008745,-0.027919,-0.003928,-0.019165,-0.024999
350,effective,0.084718,-0.014242,-0.019267,-0.023622,0.011946,-0.015641
351,sparse,0.084670,-0.011353,0.006425,-0.037769,0.004393,-0.024730
352,principles,0.084467,0.029418,0.003508,-0.001877,0.013615,0.036049
353,sciences,0.084256,0.009225,0.003604,0.036169,0.010879,0.024379
354,infer,0.084125,-0.019321,-0.017750,-0.006344,-0.011113,-0.029597
355,algorithms,0.084081,-0.010231,0.004021,0.011247,-0.049696,-0.008887
356,settings,0.083644,-0.010077,0.021957,-0.029901,0.010230,-0.011478
357,cognitive science,0.083593,0.001986,-0.008457,0.022894,0.021035,0.029221
358,based free,0.083504,0.012002,-0.006326,-0.006809,0.043743,-0.014624
359,minimizing,0.083387,0.004241,0.048960,-0.002975,0.017735,-0.009475
360,hierarchical active,0.083275,-0.019256,-0.011561,-0.020333,0.029570,-0.002555
361,spaces,0.083274,-0.017746,0.033294,0.022848,0.004035,-0.005351
362,learning active,0.082894,-0.024369,0.029978,-0.001564,0.024161,-0.002823
363,optimization,0.082610,-0.014804,-0.003177,0.021005,-0.016872,-0.026753
